precinct,state,locality,geo
"005 ATGLEN",PA,Chester,42029-ATGLEN
01-01,PA,Philadelphia,"42101-PHILADELPHIA 01-01"
01-02,PA,Philadelphia,"42101-PHILADELPHIA 01-02"
01-03,PA,Philadelphia,"42101-PHILADELPHIA 01-03"
01-04,PA,Philadelphia,"42101-PHILADELPHIA 01-04"
01-05,PA,Philadelphia,"42101-PHILADELPHIA 01-05"
01-06,PA,Philadelphia,"42101-PHILADELPHIA 01-06"
01-07,PA,Philadelphia,"42101-PHILADELPHIA 01-07"
01-08,PA,Philadelphia,"42101-PHILADELPHIA 01-08"
01-09,PA,Philadelphia,"42101-PHILADELPHIA 01-09"
01-10,PA,Philadelphia,"42101-PHILADELPHIA 01-10"
01-11,PA,Philadelphia,"42101-PHILADELPHIA 01-11"
01-12,PA,Philadelphia,"42101-PHILADELPHIA 01-12"
01-13,PA,Philadelphia,"42101-PHILADELPHIA 01-13"
01-14,PA,Philadelphia,"42101-PHILADELPHIA 01-14"
01-15,PA,Philadelphia,"42101-PHILADELPHIA 01-15"
01-16,PA,Philadelphia,"42101-PHILADELPHIA 01-16"
01-17,PA,Philadelphia,"42101-PHILADELPHIA 01-17"
01-18,PA,Philadelphia,"42101-PHILADELPHIA 01-18"
01-19,PA,Philadelphia,"42101-PHILADELPHIA 01-19"
01-20,PA,Philadelphia,"42101-PHILADELPHIA 01-20"
01-21,PA,Philadelphia,"42101-PHILADELPHIA 01-21"
"010 AVONDALE",PA,Chester,42029-AVONDALE
"014 BIRMINGHAM 1",PA,Chester,"42029-BIRMINGHAM 1"
"015 BIRMINGHAM 2",PA,Chester,"42029-BIRMINGHAM 2"
02-01,PA,Philadelphia,"42101-PHILADELPHIA 02-01"
02-02,PA,Philadelphia,"42101-PHILADELPHIA 02-02"
02-03,PA,Philadelphia,"42101-PHILADELPHIA 02-03"
02-04,PA,Philadelphia,"42101-PHILADELPHIA 02-04"
02-05,PA,Philadelphia,"42101-PHILADELPHIA 02-05"
02-06,PA,Philadelphia,"42101-PHILADELPHIA 02-06"
02-07,PA,Philadelphia,"42101-PHILADELPHIA 02-07"
02-08,PA,Philadelphia,"42101-PHILADELPHIA 02-08"
02-09,PA,Philadelphia,"42101-PHILADELPHIA 02-09"
02-10,PA,Philadelphia,"42101-PHILADELPHIA 02-10"
02-11,PA,Philadelphia,"42101-PHILADELPHIA 02-11"
02-12,PA,Philadelphia,"42101-PHILADELPHIA 02-12"
02-13,PA,Philadelphia,"42101-PHILADELPHIA 02-13"
02-14,PA,Philadelphia,"42101-PHILADELPHIA 02-14"
02-15,PA,Philadelphia,"42101-PHILADELPHIA 02-15"
02-16,PA,Philadelphia,"42101-PHILADELPHIA 02-16"
02-17,PA,Philadelphia,"42101-PHILADELPHIA 02-17"
02-18,PA,Philadelphia,"42101-PHILADELPHIA 02-18"
02-19,PA,Philadelphia,"42101-PHILADELPHIA 02-19"
02-20,PA,Philadelphia,"42101-PHILADELPHIA 02-20"
02-21,PA,Philadelphia,"42101-PHILADELPHIA 02-21"
02-22,PA,Philadelphia,"42101-PHILADELPHIA 02-22"
02-23,PA,Philadelphia,"42101-PHILADELPHIA 02-23"
02-24,PA,Philadelphia,"42101-PHILADELPHIA 02-24"
02-25,PA,Philadelphia,"42101-PHILADELPHIA 02-25"
02-26,PA,Philadelphia,"42101-PHILADELPHIA 02-26"
02-27,PA,Philadelphia,"42101-PHILADELPHIA 02-27"
02-28,PA,Philadelphia,"42101-PHILADELPHIA 02-28"
02-29,PA,Philadelphia,"42101-PHILADELPHIA 02-29"
"020 E BRADFORD N-1",PA,Chester,"42029-E BRADFORD N-1"
"021 E BRADFORD N-2",PA,Chester,"42029-E BRADFORD N-2"
"023 E BRADFORD S-1",PA,Chester,"42029-E BRADFORD S-1"
"024 E BRADFORD S-2",PA,Chester,"42029-E BRADFORD S-2"
"025 W BRADFORD 1",PA,Chester,"42029-W BRADFORD 1"
03-01,PA,Philadelphia,"42101-PHILADELPHIA 03-01"
03-02,PA,Philadelphia,"42101-PHILADELPHIA 03-02"
03-03,PA,Philadelphia,"42101-PHILADELPHIA 03-03"
03-04,PA,Philadelphia,"42101-PHILADELPHIA 03-04"
03-05,PA,Philadelphia,"42101-PHILADELPHIA 03-05"
03-06,PA,Philadelphia,"42101-PHILADELPHIA 03-06"
03-07,PA,Philadelphia,"42101-PHILADELPHIA 03-07"
